atracao_id,dia_semana_id,horario,aberto
53,2,10:00 a 21:00,1
53,3,10:00 a 21:00,1
53,4,10:00 a 21:00,1
53,5,10:00 a 21:00,1
53,6,10:00 a 21:00,1
53,0,Fechado,0
53,1,10:00 a 21:00,1
54,2,09:00 a 16:00,1
54,3,09:00 a 16:00,1
54,4,09:00 a 16:00,1
54,5,Fechado,0
54,6,Fechado,0
54,0,09:00 a 16:00,1
54,1,09:00 a 16:00,1
55,2,09:00 a 16:00,1
55,3,09:00 a 16:00,1
55,4,09:00 a 16:00,1
55,5,09:00 a 16:00,1
55,6,09:00 a 16:00,1
55,0,Fechado,0
55,1,09:00 a 16:00,1
56,2,09:00 a 16:30,1
56,3,09:00 a 16:30,1
56,4,09:00 a 16:30,1
56,5,09:00 a 16:30,1
56,6,09:00 a 16:30,1
56,0,Fechado,0
56,1,09:00 a 16:30,1
57,2,05:30 a 19:00,1
57,3,05:30 a 19:00,1
57,4,05:30 a 19:00,1
57,5,05:30 a 19:00,1
57,6,05:30 a 19:00,1
57,0,05:30 a 19:00,1
57,1,05:30 a 19:00,1
58,2,09:00 a 17:00,1
58,3,09:00 a 17:00,1
58,4,09:00 a 17:00,1
58,5,09:00 a 17:00,1
58,6,Fechado,0
58,0,09:00 a 17:00,1
58,1,09:00 a 17:00,1
59,2,09:00 a 17:00,1
59,3,09:00 a 17:00,1
59,4,09:00 a 17:00,1
59,5,09:00 a 17:00,1
59,6,09:00 a 17:00,1
59,0,Fechado,0
59,1,09:00 a 17:00,1
60,2,Atendimento 24 horas,1
60,3,Atendimento 24 horas,1
60,4,Atendimento 24 horas,1
60,5,Atendimento 24 horas,1
60,6,Atendimento 24 horas,1
60,0,Atendimento 24 horas,1
60,1,Atendimento 24 horas,1
62,2,10:00 a 18:00,1
62,3,10:00 a 18:00,1
62,4,10:00 a 18:00,1
62,5,10:00 a 18:00,1
62,6,10:00 a 18:00,1
62,0,Fechado,0
62,1,10:00 a 20:00,1
63,2,10:00 a 22:00,1
63,3,10:00 a 22:00,1
63,4,10:00 a 22:00,1
63,5,10:00 a 22:00,1
63,6,11:00 a 20:00,1
63,0,Fechado,0
63,1,10:00 a 22:00,1
64,2,09:00 a 17:00,1
64,3,09:00 a 17:00,1
64,4,09:00 a 17:00,1
64,5,09:00 a 17:00,1
64,6,09:00 a 17:00,1
64,0,Fechado,0
64,1,09:00 a 17:00,1
65,2,12:00 a 20:00,1
65,3,12:00 a 20:00,1
65,4,12:00 a 20:00,1
65,5,12:00 a 20:00,1
65,6,12:00 a 19:00,1
65,0,Fechado,0
65,1,Fechado,0
66,2,09:00 a 16:00,1
66,3,09:00 a 16:00,1
66,4,09:00 a 16:00,1
66,5,09:00 a 16:00,1
66,6,09:00 a 16:00,1
66,0,09:00 a 16:00,1
66,1,09:00 a 16:00,1
67,2,09:00 a 17:00,1
67,3,09:00 a 17:00,1
67,4,09:00 a 17:00,1
67,5,09:00 a 17:00,1
67,6,09:00 a 17:00,1
67,0,Fechado,0
67,1,09:00 a 17:00,1
68,2,09:00 a 16:30,1
68,3,09:00 a 16:30,1
68,4,09:00 a 16:30,1
68,5,09:00 a 16:30,1
68,6,09:00 a 16:30,1
68,0,Fechado,0
68,1,09:00 a 16:30,1
69,2,Fechado,0
69,3,Fechado,0
69,4,Fechado,0
69,5,Fechado,0
69,6,10:00 a 10:01,1
69,0,Fechado,0
69,1,Fechado,0
70,2,10:00 a 17:00,1
70,3,10:00 a 17:00,1
70,4,10:00 a 17:00,1
70,5,10:00 a 17:00,1
70,6,10:00 a 17:00,1
70,0,Fechado,0
70,1,10:00 a 17:00,1
71,2,09:00 a 17:00,1
71,3,09:00 a 17:00,1
71,4,09:00 a 17:00,1
71,5,09:00 a 17:00,1
71,6,09:00 a 17:00,1
71,0,Fechado,0
71,1,09:00 a 17:00,1
72,2,10:00 a 18:00,1
72,3,10:00 a 18:00,1
72,4,10:00 a 18:00,1
72,5,10:00 a 18:00,1
72,6,10:00 a 18:00,1
72,0,10:00 a 18:00,1
72,1,Fechado,0
73,2,09:00 a 18:00,1
73,3,09:00 a 18:00,1
73,4,09:00 a 18:00,1
73,5,09:00 a 18:00,1
73,6,09:00 a 18:00,1
73,0,Fechado,0
73,1,09:00 a 18:00,1
74,2,09:00 a 16:00,1
74,3,09:00 a 16:00,1
74,4,09:00 a 16:00,1
74,5,09:00 a 16:00,1
74,6,09:00 a 16:00,1
74,0,Fechado,0
74,1,09:00 a 16:00,1
75,2,Fechado,0
75,3,10:00 a 17:00,1
75,4,10:00 a 17:00,1
75,5,10:00 a 17:00,1
75,6,10:00 a 17:00,1
75,0,Fechado,0
75,1,Fechado,0
76,2,11:00 a 17:00,1
76,3,11:00 a 17:00,1
76,4,11:00 a 17:00,1
76,5,11:00 a 16:00,1
76,6,Fechado,0
76,0,Fechado,0
76,1,11:00 a 17:00,1
77,2,08:00 a 16:00,1
77,3,08:00 a 16:00,1
77,4,08:00 a 16:00,1
77,5,Fechado,0
77,6,Fechado,0
77,0,08:00 a 16:00,1
77,1,08:00 a 16:00,1
78,2,10:00 a 18:00,1
78,3,10:00 a 18:00,1
78,4,10:00 a 18:00,1
78,5,10:00 a 18:00,1
78,6,10:00 a 18:00,1
78,0,Fechado,0
78,1,10:00 a 18:00,1
79,2,10:00 a 20:00,1
79,3,10:00 a 20:00,1
79,4,10:00 a 20:00,1
79,5,10:00 a 20:00,1
